CNAE;DESCRIÇÃO;incomodidade_MEI
5620104;Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;1
5620104;Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;1
5811500;Edição de livros;1
5812300;Edição de jornais;1
5813100;Edição de revistas;1
5819100;Edição de cadastros, listas e outros produtos gráficos;1
6399200;Outras atividades de prestação de serviços de informação não especificadas anteriormente;1
6920601;Atividades de contabilidade;1
7319002;Promoção de vendas;1
7319002;Promoção de vendas;1
7319003;Marketing direto;1
7319099;Outras atividades de publicidade não especificadas anteriormente;1
7420001;Atividades de produção de fotografias, exceto aérea e submarina;1
7420002;Atividades de produção de fotografias aéreas e submarinas;1
7420002;Atividades de produção de fotografias aéreas e submarinas;1
7420003;Laboratórios fotográficos;1
7420004;Filmagem de festas e eventos;1
7490102;Escafandria e mergulho;1
7721700;Aluguel de equipamentos recreativos e esportivos;2
7722500;Aluguel de fitas de vídeo, DVDs e similares;1
7723300;Aluguel de objetos do vestuário, jóias e acessórios;1
7729201;Aluguel de aparelhos de jogos eletrônicos;1
7729202;"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais";1
7729203;Aluguel de material médico;1
7729299;Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;1
7731400;Aluguel de máquinas e equipamentos agrícolas sem operador;2
7732201;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;2
7732202;Aluguel de andaimes;2
7733100;Aluguel de máquinas e equipamentos para escritório;1
7739002;Aluguel de equipamentos científicos, médicos e hospitalares, sem operador;1
7739003;Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;2
7739099;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;2
7911200;Agências de viagens;1
7990200;Serviços de reservas e outros serviços de turismo não especificados anteriormente;1
8011102;Serviços de adestramento de cães de guarda;2
8122200;Imunização e controle de pragas urbanas;1
8130300;Atividades paisagísticas;1
8211300;Serviços combinados de escritório e apoio administrativo;1
8219901;Fotocópias;1
8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;1
8230001;Serviços de organização de feiras, congressos, exposições e festas;1
8230002;Casas de festas e eventos;2
8291100;Atividades de cobrança e informações cadastrais;1
8292000;Envasamento e empacotamento sob contrato;2
8299703;Serviços de gravação de carimbos, exceto confecção;1
8299707;Salas de acesso à internet;1
8299799;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
8592902;Ensino de artes cênicas, exceto dança;1
8592903;Ensino de música;1
8592999;Ensino de arte e cultura não especificado anteriormente;1
8593700;Ensino de idiomas;1
8599603;Treinamento em informática;1
8599604;Treinamento em desenvolvimento profissional e gerencial;1
8599605;Cursos preparatórios para concursos;1
8599699;Outras atividades de ensino não especificadas anteriormente;1
8712300;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio;1
9001901;Produção teatral;1
9001902;Produção musical;2
9002702;Restauração de obras de arte;1
9102302;Restauração e conservação de lugares e prédios históricos;1
9329803;Exploração de jogos de sinuca, bilhar e similares;2
